iteration,current_cost,best_cost,temperature
536,25.412000,14.536000,7.737809
537,25.412000,14.536000,7.737809
538,19.916000,14.536000,7.737809
539,19.916000,14.536000,7.737809
540,19.916000,14.536000,7.737809
541,19.916000,14.536000,7.737809
542,23.294000,14.536000,7.737809
543,23.294000,14.536000,7.737809
544,23.294000,14.536000,7.737809
545,22.770000,14.536000,7.737809
546,21.161000,14.536000,7.737809
547,20.273000,14.536000,7.737809
548,23.180000,14.536000,7.737809
549,23.180000,14.536000,7.737809
550,24.868000,14.536000,7.737809
551,26.141000,14.536000,7.737809
552,24.868000,14.536000,7.737809
553,20.532000,14.536000,7.737809
554,15.122000,14.536000,7.737809
555,17.374000,14.536000,7.737809
556,22.173000,14.536000,7.737809
557,23.128000,14.536000,7.737809
558,22.944000,14.536000,7.737809
559,24.295000,14.536000,7.737809
560,22.650000,14.536000,7.737809
561,24.335000,14.536000,7.737809
562,24.335000,14.536000,7.737809
563,24.335000,14.536000,7.737809
564,17.374000,14.536000,7.737809
565,21.262000,14.536000,7.737809
566,23.683000,14.536000,7.737809
567,24.420000,14.536000,7.737809
568,24.420000,14.536000,7.737809
569,20.532000,14.536000,7.737809
570,23.304000,14.536000,7.737809
571,24.295000,14.536000,7.737809
572,24.479000,14.536000,7.737809
573,20.871000,14.536000,7.737809
574,21.598000,14.536000,7.737809
575,21.598000,14.536000,7.737809
576,20.871000,14.536000,7.737809
577,21.296000,14.536000,7.737809
578,21.296000,14.536000,7.737809
579,23.248000,14.536000,7.737809
580,25.412000,14.536000,7.737809
581,19.916000,14.536000,7.737809
582,25.412000,14.536000,7.737809
583,21.262000,14.536000,7.737809
584,21.262000,14.536000,7.737809
585,21.262000,14.536000,7.737809
586,23.128000,14.536000,7.737809
587,22.944000,14.536000,7.737809
588,21.837000,14.536000,7.737809
589,21.636000,14.536000,7.737809
590,20.573000,14.536000,7.737809
591,21.262000,14.536000,7.737809
592,21.262000,14.536000,7.737809
593,19.618000,14.536000,7.737809
594,15.122000,14.536000,7.737809
595,20.532000,14.536000,7.737809
596,21.527000,14.536000,7.737809
597,24.606000,14.536000,7.737809
598,23.953000,14.536000,7.737809
599,23.074000,14.536000,7.737809
600,15.122000,14.536000,7.737809
601,15.122000,14.536000,7.350919
602,19.618000,14.536000,7.350919
603,20.312000,14.536000,7.350919
604,21.183000,14.536000,7.350919
605,21.568000,14.536000,7.350919
606,20.331000,14.536000,7.350919
607,19.308000,14.536000,7.350919
608,18.329000,14.536000,7.350919
609,18.329000,14.536000,7.350919
610,23.128000,14.536000,7.350919
611,22.173000,14.536000,7.350919
612,21.568000,14.536000,7.350919
613,21.183000,14.536000,7.350919
614,20.941000,14.536000,7.350919
615,17.379000,14.536000,7.350919
616,17.379000,14.536000,7.350919
617,17.379000,14.536000,7.350919
618,19.921000,14.536000,7.350919
619,21.663000,14.536000,7.350919
620,21.465000,14.536000,7.350919
621,23.074000,14.536000,7.350919
622,23.683000,14.536000,7.350919
623,21.296000,14.536000,7.350919
624,19.916000,14.536000,7.350919
625,19.916000,14.536000,7.350919
626,22.613000,14.536000,7.350919
627,22.613000,14.536000,7.350919
628,21.262000,14.536000,7.350919
629,23.294000,14.536000,7.350919
630,24.956000,14.536000,7.350919
631,27.175000,14.536000,7.350919
632,27.018000,14.536000,7.350919
633,22.919000,14.536000,7.350919
634,22.987000,14.536000,7.350919
635,19.921000,14.536000,7.350919
636,19.921000,14.536000,7.350919
637,25.566000,14.536000,7.350919
638,24.956000,14.536000,7.350919
639,21.734000,14.536000,7.350919
640,24.069000,14.536000,7.350919
641,23.304000,14.536000,7.350919
642,23.304000,14.536000,7.350919
643,22.347000,14.536000,7.350919
644,21.598000,14.536000,7.350919
645,20.871000,14.536000,7.350919
646,23.294000,14.536000,7.350919
647,27.018000,14.536000,7.350919
648,25.412000,14.536000,7.350919
649,25.073000,14.536000,7.350919
650,25.073000,14.536000,7.350919
651,25.412000,14.536000,7.350919
652,27.018000,14.536000,7.350919
653,27.175000,14.536000,7.350919
654,25.566000,14.536000,7.350919
655,25.073000,14.536000,7.350919
656,21.161000,14.536000,7.350919
657,23.554000,14.536000,7.350919
658,20.871000,14.536000,7.350919
659,19.916000,14.536000,7.350919
660,17.374000,14.536000,7.350919
661,18.329000,14.536000,7.350919
662,14.536000,14.536000,7.350919
663,14.536000,14.536000,7.350919
664,14.536000,14.536000,7.350919
665,15.122000,14.536000,7.350919
666,19.056000,14.536000,7.350919
667,17.379000,14.536000,7.350919
668,14.536000,14.536000,7.350919
669,17.379000,14.536000,7.350919
670,21.636000,14.536000,7.350919
671,20.573000,14.536000,7.350919
672,17.379000,14.536000,7.350919
673,17.379000,14.536000,7.350919
674,17.379000,14.536000,7.350919
675,17.374000,14.536000,7.350919
676,22.173000,14.536000,7.350919
677,20.312000,14.536000,7.350919
678,22.173000,14.536000,7.350919
679,22.173000,14.536000,7.350919
680,24.678000,14.536000,7.350919
681,23.683000,14.536000,7.350919
682,23.683000,14.536000,7.350919
683,24.420000,14.536000,7.350919
684,25.073000,14.536000,7.350919
685,24.885000,14.536000,7.350919
686,18.923000,14.536000,7.350919
687,18.923000,14.536000,7.350919
688,20.767000,14.536000,7.350919
689,23.483000,14.536000,7.350919
690,17.379000,14.536000,7.350919
691,14.536000,14.536000,7.350919
692,14.536000,14.536000,7.350919
693,14.536000,14.536000,7.350919
694,14.536000,14.536000,7.350919
695,14.536000,14.536000,7.350919
696,21.183000,14.536000,7.350919
697,21.761000,14.536000,7.350919
698,21.296000,14.536000,7.350919
699,23.683000,14.536000,7.350919
700,17.374000,14.536000,7.350919
701,15.122000,14.536000,6.983373
702,15.122000,14.536000,6.983373
703,17.374000,14.536000,6.983373
